github.com/AlDanial/cloc v 2.06  T=22.46 s (346.9 files/s, 62200.7 lines/s)
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
File                                                                                                                                                                                                         blank        comment           code
./sonar-sarif/build/generated-sources/js2p/org/sonar/sarif/pojo/ExternalProperties.java                                                                                                                         81            279            551
./server/sonar-webserver-es/src/main/java/org/sonar/server/measure/index/ProjectMeasuresIndex.java                                                                                                              79             27            548
./sonar-scanner-protocol/src/main/java/org/sonar/scanner/protocol/viewer/ScannerReportViewerApp.java                                                                                                            96             36            548
./server/sonar-db-dao/src/main/java/org/sonar/db/DbClient.java                                                                                                                                                  97             20            545
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/measure/ws/SearchHistoryActionIT.java                                                                                                              82             27            540
./server/sonar-webserver-webapi/src/main/java/org/sonar/server/qualityprofile/builtin/RuleActivator.java                                                                                                        72             58            535
./sonar-duplications/src/test/files/java/RequestUtils.java                                                                                                                                                     145            483            533
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/user/ws/SearchActionIT.java                                                                                                                       106             19            524
./server/sonar-ce-common/src/it/java/org/sonar/ce/queue/CeQueueImplIT.java                                                                                                                                     121             22            523
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/ce/ws/TaskActionIT.java                                                                                                                           103             19            519
./sonar-scanner-protocol/build/generated/source/proto/main/java/org/sonar/scanner/protocol/internal/ScannerInternal.java                                                                                        49             77            518
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/component/ws/TreeActionIT.java                                                                                                                     79             19            515
./server/sonar-webserver-webapi-v2/src/test/java/org/sonar/server/v2/api/email/config/DefaultEmailConfigurationControllerTest.java                                                                              65             19            513
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/rule/ws/ShowActionIT.java                                                                                                                          89             20            513
./server/sonar-webserver-auth/src/it/java/org/sonar/server/authentication/UserRegistrarImplIT.java                                                                                                             121             20            510
./server/sonar-webserver-auth/src/it/java/org/sonar/server/user/UserUpdaterUpdateIT.java                                                                                                                       104             30            510
./server/sonar-webserver-common/src/it/java/org/sonar/server/common/component/ComponentUpdaterIT.java                                                                                                           76             19            508
./server/sonar-db-migration/src/it/java/org/sonar/server/platform/db/migration/step/DataChangeIT.java                                                                                                           67             23            504
./server/sonar-db-dao/src/it/java/org/sonar/db/permission/UserPermissionDaoIT.java                                                                                                                             105             54            503
./sonar-scanner-engine/src/testFixtures/java/org/sonar/scanner/mediumtest/ScannerMediumTester.java                                                                                                             103             22            503
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/hotspot/ws/AssignActionIT.java                                                                                                                    120             20            501
./server/sonar-webserver-common/src/it/java/org/sonar/server/common/gitlab/config/GitlabConfigurationServiceIT.java                                                                                            118             19            500
./server/sonar-server-common/src/main/java/org/sonar/server/issue/SearchRequest.java                                                                                                                           112             20            496
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/ProjectTags.java                                                                                                                             46            105            495
./server/sonar-db-dao/src/main/java/org/sonar/db/rule/RuleDto.java                                                                                                                                             127             47            494
./server/sonar-ce/src/test/java/org/sonar/ce/taskprocessor/CeProcessingSchedulerImplTest.java                                                                                                                  100             42            493
./sonar-ws/build/generated/source/proto/main/java/org/sonarqube/ws/ProjectBadgeToken.java                                                                                                                       46             76            490
./server/sonar-db-core/src/testFixtures/java/org/sonar/db/AbstractDbTester.java                                                                                                                                 65             59            489
./sonar-scanner-engine/src/test/java/org/sonar/scanner/scan/ProjectReactorBuilderTest.java                                                                                                                      93             74            489
./sonar-ws/build/generated/source/proto/test/java/org/sonarqube/ws/Testing.java                                                                                                                                 46             68            489
./server/sonar-webserver-core/src/test/java/org/sonar/server/app/WebServerProcessLoggingTest.java                                                                                                              150             19            483
./server/sonar-db-dao/src/testFixtures/java/org/sonar/db/component/ComponentDbTester.java                                                                                                                      116             23            481
./server/sonar-telemetry/src/main/java/org/sonar/telemetry/legacy/TelemetryData.java                                                                                                                           107             20            481
./server/sonar-webserver-webapi/src/it/java/org/sonar/server/project/ws/CreateActionIT.java                                                                                                                    108             19            479
./server/sonar-ce-task-projectanalysis/src/test/java/org/sonar/ce/task/projectanalysis/issue/IssueLifecycleTest.java                                                                                            67             23            476
./server/sonar-ce-task-projectanalysis/src/test/java/org/sonar/ce/task/projectanalysis/issue/TrackerRawInputFactoryTest.java                                                                                    74             36            473
./server/sonar-db-dao/src/it/java/org/sonar/db/component/SnapshotDaoIT.java                                                                                                                                     92             20            473
